post viewers ,comment,like,share,Total Interactions
3776,3,97,22,122
3796,1,22,6,29
3934,3,113,17,133
4018,4,77,19,100
4022,3,65,14,82
4032,7,139,34,180
4096,10,145,31,186
4204,2,139,25,166
4260,1,226,44,271
4274,0,128,15,143
4336,12,155,23,190
4362,3,156,20,179
4412,1,55,7,63
4458,6,101,29,136
4644,4,154,26,184
4840,3,47,21,71
4938,0,5,2,7
5212,1,179,30,210
5290,1,89,14,104
5290,2,129,32,163
5298,5,140,38,183
5324,6,76,14,96
5402,0,112,14,126
5490,4,166,33,203
5582,2,163,35,200
5594,12,138,39,189
5754,0,65,19,84
5848,4,71,10,85
5854,11,202,5,218
6030,3,176,29,208
6184,1,105,46,152
6460,25,244,44,313
6564,47,358,49,454
6880,0,59,16,75
7132,4,136,42,182
7220,6,88,24,118
7492,8,236,51,295
7968,4,57,10,71
9124,20,150,29,199
9236,2,53,15,70
9604,16,127,0,143
9652,1,34,4,39
10040,19,214,78,311
10748,8,485,64,557
10824,6,14,1,21
10940,8,101,14,123
11304,18,168,49,235
11444,14,172,47,233
11608,4,330,29,363
11692,3,249,27,279
12468,7,310,61,378
12728,4,435,31,470
12824,0,286,30,316
13216,2,165,22,189
13720,0,325,14,339
13856,2,77,5,84
14320,2,59,6,67
15576,11,238,51,300
15880,1,200,37,238
16416,2,65,14,81
16776,10,377,60,447
17912,17,447,123,587
18480,6,187,18,211
19800,16,76,8,100
20168,18,332,54,404
20560,14,102,9,125
21872,18,315,76,409
22120,6,98,3,107
22304,29,1047,98,1174
22784,2,577,20,599
23832,6,210,39,255
25248,24,285,28,337
27056,6,234,26,266
27072,4,139,17,160
27216,4,219,22,245
28752,10,179,13,202
31136,60,859,90,1009
31904,2,126,32,160
32208,6,766,109,881
35360,7,38,11,56
36208,18,143,13,174
37088,7,579,47,633
37376,20,411,74,505
39344,7,146,9,162
39568,4,128,17,149
40336,4,104,10,118
44288,2,152,11,165
46192,9,329,38,376
50128,58,1572,147,1777
50736,3,41,9,53
50912,8,144,10,162
52736,0,24,4,28
53056,6,696,28,730
53264,15,678,20,713
53456,20,697,70,787
63840,9,197,28,234
66976,7,215,47,269
76096,22,534,31,587
95424,6,109,11,126
98816,10,197,21,228
100768,17,449,84,550
105632,51,1998,128,2177
153536,8,134,34,176
180480,372,5172,790,6334
