Post Month,Post Weekday,Post Hour,post viewers ,Total Interactions
12,4,3,7968,71
9,4,4,9124,199
8,3,2,9236,70
3,6,13,9604,143
6,7,4,9652,39
2,7,13,10040,311
9,4,2,10748,557
7,2,6,10824,21
11,3,11,10940,123
6,4,5,11304,235
11,4,2,11444,233
6,5,3,11608,363
12,1,3,11692,279
10,5,3,12468,378
8,4,3,12728,470
4,4,7,12824,316
9,6,10,13216,189
12,7,9,13720,339
9,4,10,13856,84
3,7,5,14320,67
7,5,12,15576,300
2,5,3,15880,238
11,6,2,16416,81
10,2,10,16776,447
4,6,3,17912,587
12,6,3,18480,211
12,7,10,19800,100
8,6,10,20168,404
6,4,22,20560,125
7,3,11,21872,409
8,6,3,22120,107
9,6,3,22304,1174
12,4,5,22784,599
5,4,3,23832,255
11,1,3,25248,337
2,6,13,27056,266
11,4,3,27072,160
11,2,3,27216,245
11,2,10,28752,202
10,3,2,31136,1009
7,4,6,31904,160
4,1,13,32208,881
4,5,7,35360,56
12,4,11,36208,174
1,6,10,37088,633
11,3,2,37376,505
11,5,10,39344,162
4,3,4,39568,149
7,3,13,40336,118
4,2,6,44288,165
4,3,13,46192,376
12,2,10,50128,1777
10,2,3,50736,53
11,3,2,50912,162
6,6,12,52736,28
7,4,5,53056,730
12,2,12,53264,713
11,7,3,53456,787
6,5,13,63840,234
7,3,10,66976,269
7,3,3,76096,587
7,4,10,95424,126
3,1,2,98816,228
11,5,3,100768,550
4,1,14,105632,2177
2,7,2,153536,176
7,3,5,180480,6334
