Type,post viewers ,comment,like,share,Total Interactions
Photo,3582,4,154,36,194
Photo,3594,4,112,23,139
Photo,3600,0,72,21,93
Photo,3674,9,181,32,222
Photo,3690,0,56,12,68
Photo,3706,18,46,7,71
Photo,3734,5,137,20,162
Photo,3754,2,29,7,38
Photo,3754,8,107,20,135
Photo,3756,16,117,30,163
Photo,3766,2,56,17,75
Photo,3772,0,3,0,3
Photo,3778,4,93,18,115
Photo,3786,0,77,15,92
Photo,3806,1,79,17,97
Photo,3824,1,71,18,90
Photo,3884,1,57,13,71
Photo,3906,0,7,3,10
Status,3930,4,54,17,75
Photo,3992,6,244,32,282
Photo,4010,2,166,32,200
Photo,4012,3,270,38,311
Photo,4048,5,223,35,263
Photo,4068,0,61,13,74
Photo,4094,0,4,0,4
Photo,4118,1,28,7,36
Photo,4122,1,27,11,39
Photo,4132,2,98,18,118
Photo,4156,7,91,38,136
Photo,4188,0,91,28,119
Photo,4202,3,148,16,167
Photo,4220,10,167,26,203
Photo,4240,3,114,21,138
Photo,4248,5,93,19,117
Photo,4280,1,124,32,157
Photo,4284,0,47,11,58
Photo,4320,5,141,26,172
Photo,4324,6,179,27,212
Photo,4344,1,107,26,134
Photo,4390,1,63,26,90
Photo,4398,5,204,34,243
Photo,4406,1,75,15,91
Photo,4452,0,22,3,25
Photo,4480,3,188,26,217
Photo,4484,6,179,40,225
Photo,4512,6,172,21,199
Photo,4518,7,250,42,299
Photo,4552,1,52,24,77
Photo,4582,5,190,57,252
Photo,4592,1,43,10,54
Link,4664,0,32,16,48
Photo,4666,9,152,41,202
Photo,4684,5,53,26,84
Photo,4694,3,113,26,142
Photo,4708,1,142,37,180
Photo,4732,9,301,32,342
Photo,4762,2,208,28,238
Photo,4770,2,97,25,124
Photo,4800,1,74,28,103
Photo,4892,4,118,22,144
Photo,4894,9,202,31,242
Photo,4898,1,76,9,86
Photo,4908,1,44,21,66
Photo,4910,12,138,38,188
Photo,4940,33,107,22,162
Photo,4986,2,92,28,122
Photo,5016,6,212,36,254
Photo,5034,2,56,25,83
Photo,5040,2,82,24,108
Photo,5046,2,80,21,103
Photo,5080,0,39,14,53
Photo,5086,30,187,35,252
Photo,5132,0,2,0,2
Link,5168,0,12,2,14
Photo,5206,1,144,29,174
Photo,5240,0,46,15,61
Photo,5280,2,155,47,204
Photo,5280,1,79,30,110
Photo,5282,9,278,43,330
Photo,5292,6,226,42,274
Photo,5302,4,138,26,168
Photo,5312,0,48,20,68
Photo,5338,1,62,10,73
Photo,5400,10,125,41,176
Photo,5458,1,143,27,171
Photo,5526,2,69,26,97
Photo,5536,1,74,31,106
Photo,5560,7,142,24,173
Photo,5568,13,319,55,387
Photo,5704,1,15,1,17
Photo,5728,3,155,32,190
Link,5730,2,32,15,49
Photo,5746,16,227,28,271
Photo,5786,4,49,15,68
Photo,5812,2,164,54,220
Photo,5878,3,98,27,128
Photo,5880,5,79,11,95
Photo,5976,2,267,40,309
Photo,5990,18,370,53,441
Photo,5994,11,235,34,280
Photo,6000,3,72,24,99
Photo,6056,7,84,36,127
Photo,6150,12,148,28,188
Photo,6172,1,64,22,87
Photo,6208,2,234,40,276
Photo,6360,9,164,52,225
Photo,6400,0,32,6,38
Photo,6408,26,162,7,195
Photo,6416,0,96,29,125
Photo,6444,5,194,33,232
Photo,6484,4,128,38,170
Photo,6596,0,66,13,79
Photo,6668,3,53,13,69
Status,6692,2,99,16,117
Photo,6692,4,304,47,355
Photo,6768,2,180,44,226
Link,6876,2,68,15,85
Photo,6952,11,231,43,285
Photo,6984,25,256,54,335
Photo,7192,11,95,4,110
Photo,7228,5,128,32,165
Photo,7232,2,75,24,101
Photo,7244,19,325,49,393
Photo,7268,7,26,3,36
Photo,7512,22,290,98,410
Photo,7732,7,160,57,224
Photo,7980,2,264,21,287
Status,8260,1,74,11,86
Status,8284,0,88,18,106
Photo,8324,0,14,1,15
Photo,8412,17,185,55,257
Status,8488,3,99,19,121
Photo,8500,5,159,53,217
Photo,8612,7,161,25,193
Status,8628,4,72,18,94
Status,8728,2,86,13,101
Status,8896,0,129,25,154
Status,9056,3,226,44,273
Photo,9084,2,93,26,121
Status,9120,3,25,6,34
Status,9232,1,129,36,166
Link,9356,4,114,13,131
Photo,9384,6,363,40,409
Status,9504,17,193,28,238
Photo,9528,14,198,70,282
Photo,9528,10,193,61,264
Photo,9560,36,523,63,622
Photo,9700,21,277,80,378
Photo,9880,0,35,5,40
Status,10060,4,86,18,108
Status,10152,2,55,10,67
Status,10188,13,61,13,87
Status,10460,5,130,29,164
Status,10472,1,152,33,186
Status,10744,3,148,28,179
Photo,10844,4,213,13,230
Photo,10888,12,237,45,294
Status,10956,3,13,1,17
Status,11096,4,243,41,288
Photo,11336,4,41,9,54
Photo,11420,12,211,14,237
Photo,11484,56,360,99,515
Photo,11620,5,54,7,66
Status,11844,0,161,31,192
Status,12044,0,104,13,117
Link,12540,3,46,14,63
Photo,12776,12,328,90,430
Status,13152,2,227,36,265
Status,13280,7,216,39,262
Video,13544,2,99,13,114
Photo,13544,0,36,5,41
Status,13872,4,217,50,271
Photo,14152,4,102,8,114
Photo,14200,3,87,10,100
Status,14424,41,15,1,57
Photo,14824,64,367,25,456
Photo,15288,5,264,36,305
Status,15296,9,95,17,121
Status,15816,6,186,40,232
Status,16576,4,174,36,214
Status,17360,9,484,79,572
Status,17576,11,227,31,269
Photo,18056,25,307,58,390
Photo,18120,0,189,15,204
Status,18320,36,98,14,148
Photo,18552,4,400,25,429
Status,19552,10,412,72,494
Photo,19648,9,766,43,818
Photo,19968,6,535,83,624
Photo,20528,3,148,21,172
Photo,20896,103,469,33,605
Photo,20920,1,96,18,115
Link,21176,2,130,31,163
Photo,21248,20,199,32,251
Status,21256,38,163,27,228
Status,21744,0,233,19,252
Photo,21928,0,73,13,86
Photo,22464,3,142,18,163
Photo,22984,4,85,8,97
Photo,24264,9,194,33,236
Photo,24720,13,331,77,421
Photo,26944,6,194,34,234
Photo,28112,11,129,12,152
Photo,28128,6,154,18,178
Photo,28208,13,234,43,290
Photo,28352,45,407,76,528
Photo,28880,2,114,10,126
Video,30624,6,345,121,472
Photo,32208,1,431,26,458
Photo,33536,33,1155,102,1290
Link,34192,1,36,7,44
Photo,34480,10,664,97,771
Photo,34512,6,442,42,490
Photo,35008,0,48,8,56
Photo,38576,7,529,60,596
Photo,38960,37,821,90,948
Photo,39040,16,617,58,691
Link,39600,1,101,5,107
Photo,39984,24,302,41,367
Photo,41984,144,1622,208,1974
Photo,44464,4,154,30,188
Link,45920,0,128,9,137
Photo,47376,9,186,23,218
Photo,49632,7,227,15,249
Photo,50640,4,859,68,931
Photo,54256,10,755,58,823
Photo,55520,146,1546,181,1873
Photo,56672,20,1372,47,1439
Photo,58304,0,148,7,155
Photo,66784,3,187,36,226
Photo,68896,26,1505,95,1626
Link,68992,15,143,44,202
Photo,70144,42,955,139,1136
Link,70912,1,379,40,420
Photo,71360,5,81,11,97
Photo,72864,4,220,19,243
Photo,81856,45,1639,122,1806
Photo,109056,7,148,39,194
Photo,122944,0,136,13,149
Photo,128064,8,186,18,212
Video,139008,23,204,44,271
Photo,158208,9,268,36,313
Photo,813,0,4,2,6
Photo,1006,1,11,3,15
Photo,1357,0,0,0,0
Photo,1845,0,0,0,0
Photo,1954,0,30,2,32
Photo,2055,1,84,13,98
Photo,2227,2,79,16,97
Photo,2232,2,74,22,98
Photo,2316,0,25,5,30
Photo,2351,1,104,12,117
Photo,2360,2,102,15,119
Photo,2431,0,15,3,18
Photo,2522,6,99,16,121
Photo,2566,10,140,8,158
Photo,2602,1,53,14,68
Photo,2628,3,42,10,55
Link,2645,7,29,10,46
Photo,2645,4,59,9,72
Photo,2790,0,113,19,132
Photo,2823,1,72,16,89
Photo,2938,2,101,19,122
Photo,2938,2,107,17,126
Photo,2970,2,56,9,67
Photo,3130,0,48,14,62
Photo,3254,0,39,3,42
Photo,3286,1,87,27,115
Photo,3294,2,57,6,65
Photo,3414,3,188,26,217
Photo,3414,2,47,4,53
Photo,3528,0,66,9,75
Link,3616,0,24,11,35
Photo,3662,2,67,14,83
Photo,3696,2,63,16,81
Photo,3714,5,91,26,122
Photo,3726,30,47,8,85
Photo,3776,3,97,22,122
Photo,3796,1,22,6,29
Photo,3934,3,113,17,133
Photo,4018,4,77,19,100
Photo,4022,3,65,14,82
Photo,4032,7,139,34,180
Photo,4096,10,145,31,186
Photo,4204,2,139,25,166
Photo,4260,1,226,44,271
Photo,4274,0,128,15,143
Photo,4336,12,155,23,190
Photo,4362,3,156,20,179
Photo,4412,1,55,7,63
Photo,4458,6,101,29,136
Photo,4644,4,154,26,184
Photo,4840,3,47,21,71
Link,4938,0,5,2,7
Photo,5212,1,179,30,210
Photo,5290,1,89,14,104
Photo,5290,2,129,32,163
Photo,5298,5,140,38,183
Photo,5324,6,76,14,96
Photo,5402,0,112,14,126
Photo,5490,4,166,33,203
Photo,5582,2,163,35,200
Photo,5594,12,138,39,189
Photo,5754,0,65,19,84
Photo,5848,4,71,10,85
Photo,5854,11,202,5,218
Photo,6030,3,176,29,208
Photo,6184,1,105,46,152
Photo,6460,25,244,44,313
Photo,6564,47,358,49,454
Photo,6880,0,59,16,75
Photo,7132,4,136,42,182
Photo,7220,6,88,24,118
Photo,7492,8,236,51,295
Link,7968,4,57,10,71
Status,9124,20,150,29,199
Status,9236,2,53,15,70
Photo,9604,16,127,0,143
Photo,9652,1,34,4,39
Photo,10040,19,214,78,311
Photo,10748,8,485,64,557
Status,10824,6,14,1,21
Photo,10940,8,101,14,123
Photo,11304,18,168,49,235
Photo,11444,14,172,47,233
Photo,11608,4,330,29,363
Photo,11692,3,249,27,279
Status,12468,7,310,61,378
Photo,12728,4,435,31,470
Photo,12824,0,286,30,316
Status,13216,2,165,22,189
Photo,13720,0,325,14,339
Photo,13856,2,77,5,84
Photo,14320,2,59,6,67
Status,15576,11,238,51,300
Photo,15880,1,200,37,238
Video,16416,2,65,14,81
Photo,16776,10,377,60,447
Status,17912,17,447,123,587
Link,18480,6,187,18,211
Photo,19800,16,76,8,100
Status,20168,18,332,54,404
Photo,20560,14,102,9,125
Video,21872,18,315,76,409
Photo,22120,6,98,3,107
Photo,22304,29,1047,98,1174
Photo,22784,2,577,20,599
Status,23832,6,210,39,255
Photo,25248,24,285,28,337
Photo,27056,6,234,26,266
Photo,27072,4,139,17,160
Photo,27216,4,219,22,245
Photo,28752,10,179,13,202
Status,31136,60,859,90,1009
Photo,31904,2,126,32,160
Photo,32208,6,766,109,881
Link,35360,7,38,11,56
Video,36208,18,143,13,174
Photo,37088,7,579,47,633
Photo,37376,20,411,74,505
Photo,39344,7,146,9,162
Photo,39568,4,128,17,149
Photo,40336,4,104,10,118
Photo,44288,2,152,11,165
Photo,46192,9,329,38,376
Photo,50128,58,1572,147,1777
Photo,50736,3,41,9,53
Photo,50912,8,144,10,162
Photo,52736,0,24,4,28
Photo,53056,6,696,28,730
Photo,53264,15,678,20,713
Photo,53456,20,697,70,787
Photo,63840,9,197,28,234
Photo,66976,7,215,47,269
Photo,76096,22,534,31,587
Photo,95424,6,109,11,126
Photo,98816,10,197,21,228
Video,100768,17,449,84,550
Photo,105632,51,1998,128,2177
Photo,153536,8,134,34,176
Photo,180480,372,5172,790,6334
